ts_ms,year,mon,day,hr,min,sec,lat,lon,speed,alt,temp_c,pressure_pa,humidity_pct,voc_ohm,noise_energy,sweat_level,accel_freq,accel_ampl,accel_energy,accel_dir
241470,2025,5,22,20,16,57,45.79206,15.95857,0.00,186.70,2877,99379,34744,510939,77,4095,249.76,191262.11,695105390592,0
242480,2025,5,22,20,16,58,45.79206,15.95857,0.00,186.70,2879,99377,34734,510550,48,4095,249.76,191262.11,695105390592,0
243480,2025,5,22,20,16,59,45.79206,15.95857,0.00,186.70,2879,99373,34712,511721,891,4095,249.76,191262.11,695105390592,0
244470,2025,5,22,20,17,0,45.79206,15.95857,0.00,186.70,2880,99373,34689,512112,38,4095,249.76,191262.11,695105390592,0
245470,2025,5,22,20,17,1,45.79206,15.95857,0.00,186.70,2880,99373,34689,512112,47,4095,249.76,191262.11,695105390592,0
246480,2025,5,22,20,17,2,45.79206,15.95857,0.00,186.70,2878,99373,34666,514079,79,4095,249.76,191262.11,695105390592,0
247490,2025,5,22,20,17,3,45.79206,15.95857,0.00,186.70,2881,99383,34653,516858,88,4095,249.76,191262.11,695105390592,0
248480,2025,5,22,20,17,4,45.79206,15.95857,0.00,186.70,2882,99379,34658,513684,55,4095,244.87,198929.00,714328014848,0
249500,2025,5,22,20,17,5,45.79206,15.95857,0.00,186.70,2881,99381,34693,509384,1943,4095,244.87,198929.00,714328014848,0
250500,2025,5,22,20,17,6,45.79206,15.95857,0.00,186.70,2878,99373,34723,509772,1903,4095,244.87,198929.00,714328014848,0
252480,2025,5,22,20,17,8,45.79206,15.95857,0.00,186.70,2878,99373,34723,509772,241,4095,244.87,198929.00,714328014848,0
253480,2025,5,22,20,17,9,45.79206,15.95857,0.00,186.70,2878,99377,34747,512504,392,4095,244.87,198929.00,714328014848,0
254490,2025,5,22,20,17,10,45.79206,15.95857,0.00,186.70,2877,99373,34760,509384,17910,4095,244.87,198929.00,714328014848,0
255490,2025,5,22,20,17,11,45.79206,15.95857,0.00,186.70,2881,99379,34762,512897,3350,4095,244.87,198929.00,714328014848,0
256500,2025,5,22,20,17,12,45.79206,15.95857,0.00,186.70,2882,99375,34762,511330,5718,4095,244.87,198929.00,714328014848,0
257480,2025,5,22,20,17,13,45.79206,15.95857,0.00,186.70,2879,99372,34791,509772,2823,4095,244.87,198929.00,714328014848,0
258470,2025,5,22,20,17,14,45.79206,15.95857,0.00,186.70,2879,99372,34791,509772,12228,4095,244.87,198929.00,714328014848,0
259470,2025,5,22,20,17,15,45.79206,15.95857,0.62,186.70,2873,99372,34874,510939,3676,4095,244.87,198929.00,714328014848,0
260490,2025,5,22,20,17,16,45.79206,15.95858,1.19,185.40,2867,99370,34958,506685,591,4095,244.63,227711.89,748226551808,0
261480,2025,5,22,20,17,17,45.79207,15.95856,1.01,185.30,2859,99377,35090,502878,3531,4095,244.63,227711.89,748226551808,0
262470,2025,5,22,20,17,18,45.79208,15.95856,1.25,185.20,2856,99375,35142,505919,17653,4095,244.63,227711.89,748226551808,0
263460,2025,5,22,20,17,19,45.79208,15.95857,1.07,185.10,2854,99377,35146,504774,21155,4095,244.63,227711.89,748226551808,0
264450,2025,5,22,20,17,20,45.79207,15.95857,1.04,185.00,2854,99377,35146,504774,8299,4095,244.63,227711.89,748226551808,0
265450,2025,5,22,20,17,21,45.79207,15.95857,0.69,184.90,2844,99372,35144,506685,5329,4095,244.63,227711.89,748226551808,0
266460,2025,5,22,20,17,22,45.79206,15.95856,0.99,184.80,2843,99373,35259,506302,6778,4095,244.63,227711.89,748226551808,0
267470,2025,5,22,20,17,23,45.79206,15.95855,0.81,184.70,2842,99368,35359,504394,8674,4095,244.63,227711.89,748226551808,0
268470,2025,5,22,20,17,24,45.79207,15.95855,0.00,184.60,2838,99375,35371,505919,10703,4095,244.63,227711.89,748226551808,0
269460,2025,5,22,20,17,25,45.79210,15.95856,1.37,184.50,2833,99375,35339,509772,12994,4095,244.63,227711.89,748226551808,0
270460,2025,5,22,20,17,26,45.79217,15.95855,2.05,184.20,2833,99375,35339,509772,2060,4095,244.63,227711.89,748226551808,0
271510,2025,5,22,20,17,27,45.79221,15.95856,1.22,184.10,2832,99370,35318,507453,1056,4095,244.63,227711.89,748226551808,0
272490,2025,5,22,20,17,28,45.79222,15.95856,0.52,184.10,2831,99373,35310,509384,6471,4095,246.09,204085.12,680543111168,0
273480,2025,5,22,20,17,29,45.79222,15.95856,0.53,184.00,2826,99377,35361,514474,4150,4095,246.09,204085.12,680543111168,0
275470,2025,5,22,20,17,31,45.79222,15.95856,0.40,184.10,2824,99375,35480,510161,5763,4095,246.09,204085.12,680543111168,0
276470,2025,5,22,20,17,32,45.79222,15.95856,0.44,184.10,2823,99370,35692,514474,12460,4095,246.09,204085.12,680543111168,0
277470,2025,5,22,20,17,33,45.79222,15.95856,0.00,184.10,2823,99370,35692,514474,11593,4095,246.09,204085.12,680543111168,0
278470,2025,5,22,20,17,34,45.79222,15.95856,0.00,184.10,2826,99375,35829,513684,49522742,4095,246.09,204085.12,680543111168,0
279470,2025,5,22,20,17,35,45.79221,15.95856,0.00,184.10,2826,99375,35868,516459,19262,4095,246.09,204085.12,680543111168,0
280470,2025,5,22,20,17,36,45.79221,15.95856,0.00,184.10,2825,99379,35868,516858,11274,4095,246.09,204085.12,680543111168,0
281470,2025,5,22,20,17,37,45.79221,15.95856,0.00,184.10,2826,99377,35863,518058,13216,4095,246.09,204085.12,680543111168,0
282460,2025,5,22,20,17,38,45.79221,15.95856,0.00,184.10,2819,99379,35874,521692,8335,4095,246.09,204085.12,680543111168,0
283460,2025,5,22,20,17,39,45.79221,15.95856,0.00,184.10,2819,99379,35874,521692,3602,4095,246.09,204085.12,680543111168,0
284470,2025,5,22,20,17,40,45.79221,15.95856,0.44,184.10,2816,99379,35896,524965,4389,4095,246.09,204085.12,680543111168,0
285460,2025,5,22,20,17,41,45.79219,15.95857,1.33,184.10,2810,99375,35893,522506,1181,4095,245.12,229968.97,747365599232,0
286470,2025,5,22,20,17,42,45.79219,15.95859,1.98,184.10,2808,99379,35901,520880,12537,4095,245.12,229968.97,747365599232,0
287470,2025,5,22,20,17,43,45.79217,15.95860,1.56,184.10,2804,99375,35889,522506,4232,4095,245.12,229968.97,747365599232,0
288470,2025,5,22,20,17,44,45.79216,15.95861,1.08,184.00,2804,99373,35866,524554,2536,4095,245.12,229968.97,747365599232,0
289470,2025,5,22,20,17,45,45.79216,15.95861,0.88,184.00,2804,99373,35866,524554,9546,4095,245.12,229968.97,747365599232,0
290460,2025,5,22,20,17,46,45.79216,15.95862,0.58,184.00,2804,99373,35866,524143,10718,5167,245.12,229968.97,747365599232,0
291460,2025,5,22,20,17,47,45.79217,15.95863,1.01,184.00,2798,99375,35940,522506,6312,5167,245.12,229968.97,747365599232,0
292450,2025,5,22,20,17,48,45.79219,15.95864,2.20,184.00,2794,99375,36008,524554,6238,5167,245.12,229968.97,747365599232,0
293510,2025,5,22,20,17,49,45.79222,15.95864,2.67,184.00,2797,99375,36046,519667,26928,5167,245.12,229968.97,747365599232,0
294460,2025,5,22,20,17,50,45.79222,15.95864,1.71,184.00,2789,99370,36115,520070,3499,4095,245.12,229968.97,747365599232,0
295480,2025,5,22,20,17,51,45.79223,15.95866,1.41,184.00,2789,99370,36115,520070,6320,4095,245.12,229968.97,747365599232,0
296470,2025,5,22,20,17,52,45.79224,15.95866,1.19,184.10,2782,99379,36305,518861,5305,4095,245.12,229968.97,747365599232,0
298460,2025,5,22,20,17,54,45.79222,15.95864,0.05,184.20,2779,99383,36548,520475,2242,4095,247.31,197185.34,733502720000,0
299470,2025,5,22,20,17,55,45.79222,15.95864,0.04,184.20,2786,99379,36661,524554,10029,4095,247.31,197185.34,733502720000,0
300460,2025,5,22,20,17,56,45.79221,15.95864,0.00,184.20,2785,99372,36708,531215,4366,4095,247.31,197185.34,733502720000,0
301460,2025,5,22,20,17,57,45.79221,15.95864,0.00,184.10,2777,99370,36769,526203,9143,4095,247.31,197185.34,733502720000,0
302460,2025,5,22,20,17,58,45.79220,15.95863,0.00,184.20,2777,99370,36769,526203,9399,4095,247.31,197185.34,733502720000,0
303470,2025,5,22,20,17,59,45.79218,15.95861,2.07,184.20,2765,99375,36805,531637,9624,4095,247.31,197185.34,733502720000,0
304460,2025,5,22,20,18,0,45.79216,15.95860,2.37,184.20,2757,99385,36782,532483,4369,4095,247.31,197185.34,733502720000,0
305470,2025,5,22,20,18,1,45.79214,15.95859,2.33,184.20,2756,99377,36754,531215,2161,4092,247.31,197185.34,733502720000,0
306470,2025,5,22,20,18,2,45.79212,15.95859,1.92,184.20,2749,99373,36729,532483,15910,4091,247.31,197185.34,733502720000,0
307470,2025,5,22,20,18,3,45.79211,15.95858,1.59,184.10,2743,99368,36799,529953,6218,4090,247.31,197185.34,733502720000,0
308480,2025,5,22,20,18,4,45.79209,15.95857,1.62,184.10,2743,99368,36799,529953,16425,4083,247.31,197185.34,733502720000,0
309480,2025,5,22,20,18,5,45.79207,15.95856,1.97,184.10,2733,99372,36906,540655,4028,4077,247.31,197185.34,733502720000,0
310470,2025,5,22,20,18,6,45.79207,15.95856,0.05,184.10,2733,99370,36981,538047,4649,4080,5.13,104029.68,751675318272,0
311480,2025,5,22,20,18,7,45.79207,15.95856,0.05,184.10,2734,99370,37037,543729,3399,4077,5.13,104029.68,751675318272,0
312480,2025,5,22,20,18,8,45.79208,15.95855,0.07,184.00,2731,99377,37058,544614,10324,4077,5.13,104029.68,751675318272,0
313470,2025,5,22,20,18,9,45.79207,15.95854,0.00,184.10,2729,99377,37086,546392,27096,4081,5.13,104029.68,751675318272,0
314480,2025,5,22,20,18,10,45.79207,15.95854,0.00,184.10,2729,99377,37086,546392,12050,4087,5.13,104029.68,751675318272,0
315470,2025,5,22,20,18,11,45.79206,15.95853,0.00,184.10,2727,99373,37135,549533,7788,4080,5.13,104029.68,751675318272,0
316470,2025,5,22,20,18,12,45.79206,15.95853,0.00,184.10,2726,99373,37173,549984,10384,4052,5.13,104029.68,751675318272,0
317470,2025,5,22,20,18,13,45.79208,15.95851,0.07,184.10,2728,99373,37222,542407,2540,4014,5.13,104029.68,751675318272,0
318490,2025,5,22,20,18,14,45.79209,15.95850,0.08,184.10,2727,99377,37269,545502,8462,3977,5.13,104029.68,751675318272,0
319500,2025,5,22,20,18,15,45.79210,15.95849,0.07,184.20,2727,99372,37338,547286,10378,3925,5.13,104029.68,751675318272,0
320490,2025,5,22,20,18,16,45.79210,15.95849,0.71,184.30,2727,99372,37338,547286,3443,3884,5.13,104029.68,751675318272,0
322470,2025,5,22,20,18,18,45.79210,15.95845,1.50,184.30,2722,99379,37397,548182,1067,3868,244.87,106990.25,694501836800,0
323480,2025,5,22,20,18,19,45.79210,15.95842,2.21,184.40,2714,99377,37450,546839,7532,3854,244.87,106990.25,694501836800,0
324480,2025,5,22,20,18,20,45.79210,15.95840,1.98,184.40,2712,99375,37580,551798,2192,3840,244.87,106990.25,694501836800,0
325470,2025,5,22,20,18,21,45.79209,15.95840,0.78,184.50,2707,99377,37699,547734,15893,3862,244.87,106990.25,694501836800,0
326480,2025,5,22,20,18,22,45.79210,15.95840,0.00,184.50,2709,99379,37778,553623,3742,3884,244.87,106990.25,694501836800,0
327470,2025,5,22,20,18,23,45.79210,15.95841,0.00,184.50,2709,99379,37778,553623,8334,3891,244.87,106990.25,694501836800,0
328480,2025,5,22,20,18,24,45.79211,15.95840,0.00,184.50,2711,99383,37815,558707,4560,3878,244.87,106990.25,694501836800,0
329480,2025,5,22,20,18,25,45.79211,15.95840,0.00,184.50,2710,99387,37843,556847,16080,3855,244.87,106990.25,694501836800,0
330480,2025,5,22,20,18,26,45.79211,15.95840,0.00,184.50,2710,99385,37877,555461,15243,3793,244.87,106990.25,694501836800,0
331480,2025,5,22,20,18,27,45.79211,15.95840,0.00,184.50,2709,99385,38010,555922,20687,3752,244.87,106990.25,694501836800,0
332470,2025,5,22,20,18,28,45.79211,15.95840,0.00,184.50,2703,99379,38148,553166,5101,3705,244.87,106990.25,694501836800,0
333470,2025,5,22,20,18,29,45.79211,15.95840,0.42,184.50,2703,99379,38148,553166,1637,3691,244.87,106990.25,694501836800,0
334480,2025,5,22,20,18,30,45.79210,15.95839,1.07,184.40,2697,99381,38336,553166,1027,3679,248.54,99907.12,693521620992,0
335470,2025,5,22,20,18,31,45.79208,15.95839,1.32,184.40,2689,99377,38532,555461,5750,3712,248.54,99907.12,693521620992,0
336470,2025,5,22,20,18,32,45.79206,15.95839,1.54,184.50,2683,99381,38657,557311,6418,3740,248.54,99907.12,693521620992,0
337480,2025,5,22,20,18,33,45.79205,15.95840,1.54,184.50,2678,99377,38627,560578,10706,3765,248.54,99907.12,693521620992,0
338480,2025,5,22,20,18,34,45.79203,15.95839,1.44,184.50,2673,99381,38601,561048,8340,3783,248.54,99907.12,693521620992,0
339470,2025,5,22,20,18,35,45.79203,15.95841,1.17,184.50,2673,99381,38601,561048,5025,3826,248.54,99907.12,693521620992,0
340470,2025,5,22,20,18,36,45.79203,15.95842,1.08,184.50,2667,99383,38636,565791,7031,3840,248.54,99907.12,693521620992,0
341480,2025,5,22,20,18,37,45.79203,15.95843,1.05,184.60,2665,99375,38643,558707,3072,3861,248.54,99907.12,693521620992,0
342470,2025,5,22,20,18,38,45.79203,15.95844,0.85,184.60,2665,99379,38648,562463,7083,3904,248.54,99907.12,693521620992,0
343510,2025,5,22,20,18,39,45.79203,15.95845,0.76,184.50,2659,99375,38685,562463,12696,3926,248.54,99907.12,693521620992,0
344500,2025,5,22,20,18,40,45.79203,15.95846,0.72,184.50,2660,99373,38724,558707,6245,3897,248.54,99907.12,693521620992,0
346470,2025,5,22,20,18,42,45.79203,15.95847,0.42,184.40,2660,99373,38724,558707,2072,3880,248.54,99907.12,693521620992,0
347470,2025,5,22,20,18,43,45.79206,15.95848,0.00,184.40,2657,99381,38804,556385,1346,3866,245.12,87368.68,675475294208,0
348470,2025,5,22,20,18,44,45.79206,15.95848,0.00,184.40,2653,99381,39043,551798,3076,3839,245.12,87368.68,675475294208,0
349480,2025,5,22,20,18,45,45.79211,15.95848,0.80,184.30,2653,99377,39130,557776,6888,3819,245.12,87368.68,675475294208,0
350470,2025,5,22,20,18,46,45.79212,15.95847,1.87,184.30,2650,99377,39168,558707,6885,3790,245.12,87368.68,675475294208,0
351480,2025,5,22,20,18,47,45.79214,15.95847,1.68,184.20,2652,99383,39149,557311,5319,3770,245.12,87368.68,675475294208,0
352480,2025,5,22,20,18,48,45.79215,15.95846,1.46,184.20,2652,99383,39149,557311,9405,3751,245.12,87368.68,675475294208,0
353480,2025,5,22,20,18,49,45.79216,15.95846,1.36,184.20,2651,99379,39174,554082,19712,3752,245.12,87368.68,675475294208,0
354480,2025,5,22,20,18,50,45.79216,15.95845,1.25,184.10,2642,99381,39278,554541,17347,3751,245.12,87368.68,675475294208,0
355470,2025,5,22,20,18,51,45.79216,15.95844,1.21,184.10,2633,99379,39390,557776,10576,3740,245.12,87368.68,675475294208,0
356480,2025,5,22,20,18,52,45.79215,15.95842,1.94,184.10,2633,99379,39477,556847,9217,3735,245.12,87368.68,675475294208,0
357470,2025,5,22,20,18,53,45.79212,15.95841,2.63,184.00,2629,99377,39490,562463,4131,3737,245.12,87368.68,675475294208,0
358470,2025,5,22,20,18,54,45.79211,15.95844,2.98,183.90,2629,99377,39490,562463,2238,3731,245.12,87368.68,675475294208,0
359480,2025,5,22,20,18,55,45.79201,15.95843,3.18,183.50,2622,99370,39648,563410,7024,3743,247.56,214852.38,689833183232,0
360480,2025,5,22,20,18,56,45.79197,15.95841,3.46,183.50,2617,99379,39811,563410,6318,3767,247.56,214852.38,689833183232,0
361470,2025,5,22,20,18,57,45.79194,15.95838,2.75,183.50,2617,99383,39887,564836,3405,3794,247.56,214852.38,689833183232,0
362470,2025,5,22,20,18,58,45.79193,15.95837,1.47,183.40,2618,99385,39948,564360,7680,3787,247.56,214852.38,689833183232,0
363480,2025,5,22,20,18,59,45.79191,15.95838,1.44,183.40,2614,99387,40031,567229,12982,3776,247.56,214852.38,689833183232,0
364490,2025,5,22,20,19,0,45.79190,15.95838,1.18,183.30,2614,99387,40031,567229,7580,3765,247.56,214852.38,689833183232,0
365480,2025,5,22,20,19,1,45.79189,15.95838,2.23,183.20,2610,99387,40140,561048,10859,3732,247.56,214852.38,689833183232,0
367360,2025,5,22,20,19,3,0.00000,0.00000,2.22,0.00,2602,99381,40264,565791,4429,3722,247.56,214852.38,689833183232,0
367360,2025,5,22,20,19,3,0.00000,0.00000,2.22,0.00,2599,99377,40423,569159,3655,3727,247.56,214852.38,689833183232,0
368470,2025,5,22,20,19,4,45.79197,15.95830,1.71,182.70,2593,99385,40481,566749,11805,3740,247.56,214852.38,689833183232,0
370470,2025,5,22,20,19,6,45.79194,15.95842,2.10,183.00,2591,99385,40541,565791,7088,3763,247.56,214852.38,689833183232,0
371470,2025,5,22,20,19,7,45.79193,15.95847,2.07,183.00,2591,99385,40541,565791,2351,3789,247.56,214852.38,689833183232,0
372480,2025,5,22,20,19,8,45.79192,15.95852,2.29,183.00,2590,99379,40670,576016,2480,3782,247.31,182313.36,771341617152,0
373480,2025,5,22,20,19,9,45.79192,15.95857,2.38,183.00,2587,99385,40835,568675,7873,3762,247.31,182313.36,771341617152,0
374480,2025,5,22,20,19,10,45.79191,15.95863,2.82,182.80,2579,99375,41034,574040,4896,3742,247.31,182313.36,771341617152,0
375480,2025,5,22,20,19,11,45.79191,15.95869,3.11,182.80,2572,99381,41291,564836,6396,3714,247.31,182313.36,771341617152,0
376480,2025,5,22,20,19,12,45.79191,15.95874,3.48,182.80,2566,99389,41522,574040,11295,3686,247.31,182313.36,771341617152,0
377500,2025,5,22,20,19,13,45.79191,15.95881,3.49,182.70,2566,99389,41522,574040,7831,3689,247.31,182313.36,771341617152,0
378480,2025,5,22,20,19,14,45.79191,15.95886,2.97,182.60,2561,99393,41719,577507,4107,3699,247.31,182313.36,771341617152,0
379490,2025,5,22,20,19,15,45.79192,15.95895,2.82,182.20,2555,99389,41916,567229,4766,3709,247.31,182313.36,771341617152,0
380470,2025,5,22,20,19,16,45.79190,15.95899,1.85,182.10,2553,99381,42088,574533,6959,3730,247.31,182313.36,771341617152,0
381480,2025,5,22,20,19,17,45.79189,15.95902,1.32,182.10,2550,99395,42210,581521,16957,3745,247.31,182313.36,771341617152,0
382480,2025,5,22,20,19,18,45.79189,15.95903,0.79,182.20,2551,99385,42245,570128,1537,3753,247.31,182313.36,771341617152,0
383480,2025,5,22,20,19,19,45.79189,15.95905,1.90,182.30,2551,99385,42245,570128,8237,3766,247.31,182313.36,771341617152,0
384480,2025,5,22,20,19,20,45.79190,15.95908,3.16,182.70,2544,99389,42311,576016,3436,3816,248.29,146942.12,728241047552,0
385490,2025,5,22,20,19,21,45.79190,15.95913,4.03,183.40,2541,99385,42454,578505,6992,4923,248.29,146942.12,728241047552,0
386470,2025,5,22,20,19,22,45.79190,15.95916,3.64,184.10,2533,99385,42499,578006,7712,4940,248.29,146942.12,728241047552,0
387480,2025,5,22,20,19,23,45.79190,15.95920,4.32,184.80,2526,99387,42509,582027,18044,4942,248.29,146942.12,728241047552,0
388490,2025,5,22,20,19,24,45.79191,15.95926,4.44,185.30,2522,99379,42501,585079,10975,4915,248.29,146942.12,728241047552,0
389520,2025,5,22,20,19,25,45.79192,15.95931,4.11,185.70,2522,99379,42501,585079,8337,3796,248.29,146942.12,728241047552,0
390510,2025,5,22,20,19,26,45.79191,15.95933,3.08,186.40,2516,99395,42468,590239,4132,3785,248.29,146942.12,728241047552,0
391500,2025,5,22,20,19,27,45.79189,15.95937,3.42,186.80,2511,99383,42395,592853,46827,3770,248.29,146942.12,728241047552,0
393480,2025,5,22,20,19,29,45.79182,15.95940,4.47,187.50,2507,99393,42296,593905,14207,3762,248.29,146942.12,728241047552,0
394480,2025,5,22,20,19,30,45.79177,15.95942,5.00,187.40,2505,99393,42217,593905,6564,3756,248.29,146942.12,728241047552,0
395490,2025,5,22,20,19,31,45.79173,15.95944,4.86,187.60,2500,99395,42190,595490,6424,3750,248.29,146942.12,728241047552,0
396480,2025,5,22,20,19,32,45.79168,15.95945,4.51,187.90,2500,99395,42190,595490,13471,3745,244.14,131603.09,643939991552,0
397480,2025,5,22,20,19,33,45.79163,15.95946,4.65,188.20,2495,99381,42265,594961,10605,3735,244.14,131603.09,643939991552,0
398480,2025,5,22,20,19,34,45.79154,15.95954,4.74,190.80,2489,99391,42387,594961,12860,3739,244.14,131603.09,643939991552,0
399490,2025,5,22,20,19,35,45.79149,15.95956,4.64,191.00,2486,99391,42589,589200,11207,3745,244.14,131603.09,643939991552,0
400490,2025,5,22,20,19,36,45.79145,15.95961,4.26,191.20,2484,99401,42797,587132,6562,3755,244.14,131603.09,643939991552,0
401490,2025,5,22,20,19,37,45.79142,15.95966,3.59,191.30,2483,99401,42995,591282,2956,3767,244.14,131603.09,643939991552,0
402490,2025,5,22,20,19,38,45.79140,15.95972,4.16,191.40,2483,99401,42995,591282,4005,3777,244.14,131603.09,643939991552,0
403480,2025,5,22,20,19,39,45.79139,15.95979,4.59,191.50,2480,99399,43239,586618,7037,3788,244.14,131603.09,643939991552,0
404490,2025,5,22,20,19,40,45.79138,15.95985,4.24,191.60,2478,99395,43477,586104,2966,3795,244.14,131603.09,643939991552,0
405480,2025,5,22,20,19,41,45.79137,15.95990,3.98,191.40,2475,99403,43627,586104,7927,3796,244.14,131603.09,643939991552,0
406480,2025,5,22,20,19,42,45.79136,15.95996,4.29,191.30,2474,99399,43780,584058,8203,3802,244.14,131603.09,643939991552,0
407490,2025,5,22,20,19,43,45.79140,15.95995,3.98,188.90,2470,99399,43965,583549,3042,3795,244.14,131603.09,643939991552,0
408480,2025,5,22,20,19,44,45.79140,15.96001,4.29,188.60,2470,99399,43965,583549,4526,3779,248.29,122444.64,648596717568,0
409480,2025,5,22,20,19,45,45.79140,15.96006,4.56,188.20,2470,99401,44157,581521,9088,3771,248.29,122444.64,648596717568,0
410480,2025,5,22,20,19,46,45.79140,15.96012,4.11,187.90,2468,99405,44327,582027,15401,3771,248.29,122444.64,648596717568,0
411490,2025,5,22,20,19,47,45.79140,15.96017,4.02,187.70,2464,99405,44467,585591,9372,3772,248.29,122444.64,648596717568,0
412480,2025,5,22,20,19,48,45.79144,15.96019,3.65,186.50,2463,99403,44688,581521,7218,3779,248.29,122444.64,648596717568,0
413490,2025,5,22,20,19,49,45.79147,15.96031,3.36,186.20,2461,99397,44908,581016,5253,3790,248.29,122444.64,648596717568,0
414510,2025,5,22,20,19,50,45.79148,15.96037,2.93,185.50,2461,99397,44908,581016,9405,3804,248.29,122444.64,648596717568,0
415530,2025,5,22,20,19,51,45.79149,15.96043,2.74,184.90,2460,99395,45131,584568,7302,3809,248.29,122444.64,648596717568,0
417490,2025,5,22,20,19,53,45.79147,15.96049,2.51,184.30,2454,99397,45260,583549,23349,3812,248.29,122444.64,648596717568,0
418490,2025,5,22,20,19,54,45.79145,15.96050,3.14,184.00,2452,99401,45396,586104,9431,3817,248.29,122444.64,648596717568,0
